x y z
-18.9546 -95.8884 8.32012
-8.42063 -94.3408 8.00787
-9.03931 -95.1328 8.01518
-9.93265 -95.7326 7.69808
-11.1025 -96.2088 7.64919
-18.4413 -96.2145 7.96783
-19.1126 -96.0169 7.56645
-8.32479 -94.2686 7.09839
-8.90079 -95.4208 7.07248
-10.1748 -96.0972 7.06682
-11.8976 -96.5233 7.04742
-13.9405 -96.7767 6.87708
-15.5982 -96.6517 7.00107
-16.7798 -96.5048 7.02964
-17.8015 -96.3595 6.98722
-18.6814 -96.1488 7.21616
-19.1689 -96.0313 7.16871
-8.28871 -94.9767 5.89473
-9.17315 -95.8819 6.38663
-10.5895 -96.4416 6.40722
-12.5991 -96.7978 6.19706
-14.372 -96.813 6.28083
-15.6164 -96.7094 6.41547
-16.7802 -96.5452 6.51168
-17.4968 -96.3969 6.60104
-8.10868 -95.0291 4.97456
-13.0327 -97.0294 5.70487
-14.3745 -96.9217 5.9307
-15.3208 -96.7864 6.172
-8.08402 -95.0741 4.0816
-8.33528 -94.3466 3.45683
-8.68725 -93.7822 3.20172
-15.3882 -96.9413 5.86667
-16.2124 -96.8787 5.83736
-17.0926 -96.7469 5.81737
-17.7053 -96.6355 5.73856
-18.4668 -96.3185 5.76224
-19.5073 -95.8436 5.93131
-20.575 -95.6974 5.81874
-21.6639 -95.6379 5.52212
-22.7936 -95.7345 5.07674
-23.88 -95.7229 4.4749
-24.6311 -95.6285 3.86397
-8.28979 -94.9641 3.11116
-8.60595 -94.5231 2.42774
-9.43214 -93.6431 2.55276
-10.2705 -93.4202 2.21321
-17.4916 -96.5517 5.84483
-18.027 -96.3124 5.86334
-18.7236 -96.0252 5.90811
-19.2539 -95.865 5.8213
-23.1959 -96.4739 3.81378
-24.2529 -96.0562 3.50712
-24.8292 -95.8138 3.3669
-6.06 -95.7838 2.12949
-6.3618 -95.5217 2.28855
-8.55222 -94.7847 1.79655
-9.06053 -94.509 1.64536
-10.3833 -93.8039 1.49196
-11.6312 -93.654 0.598136
-12.3585 -93.7108 0.112012
-22.1589 -97.4471 1.89621
-22.7325 -97.0942 2.30199
-23.9436 -96.4237 2.51662
-24.9414 -96.0201 2.69204
-6.12579 -96.2411 1.40267
-7.28475 -95.7658 1.73558
-8.42643 -95.7298 0.97446
-8.63491 -96.1017 0.593907
-9.51153 -94.5109 0.93625
-10.4342 -94.3161 0.417251
-11.5499 -94.1646 -0.372115
-12.8139 -93.5507 -0.456241
-13.8448 -93.5396 -0.560581
-21.7346 -97.5881 0.293744
-22.2473 -97.3704 1.00862
-22.8338 -97.1039 0.947578
-5.11467 -96.1245 0.439421
-8.77453 -95.6747 0.646509
-8.85752 -95.9081 0.165039
-12.2105 -93.9658 -1.03539
-13.3213 -94.0202 -1.18493
-14.0954 -93.5628 -1.18056
-21.433 -97.8298 -0.992146
-21.61 -97.7086 -0.438887
-23.9469 -97.4865 -1.83631
-24.8992 -96.868 -1.63554
-25.6492 -96.2592 -1.5517
-4.45447 -95.9779 -0.813417
-9.10473 -96.1713 -0.807161
-9.63205 -95.5237 -1.25801
-13.0672 -94.282 -1.96777
-13.9811 -94.0765 -1.9555
-21.1251 -97.9061 -2.01217
-22.2589 -98.0306 -2.68868
-23.1253 -97.8825 -2.45826
-24.4859 -97.2428 -2.34964
-25.7833 -96.0564 -2.12107
-3.35334 -95.5388 -2.02097
-4.25094 -96.1763 -2.00207
-9.20227 -96.7066 -1.52878
